,MAE,RMSE,R2,pred
LSTM,193.0353999482574,238.13287552933576,-1.824130686739724,"[88.00192  88.00192  88.00192  88.00192  88.00192  88.00192  88.00192
 88.00192  88.00193  88.00194  88.00192  88.00193  88.001945 88.00193
 88.00193  88.00194  88.00192  88.00194  88.00193  88.001945 88.00194
 88.00194  88.00192  88.00194  88.00194  88.001945 88.00194  88.00194
 88.00195  88.00196  88.00195  88.00194  88.00194  88.00195  88.00195
 88.001945 88.00196  88.00194  88.00194  88.00194  88.00195  88.00194
 88.00194  88.00195  88.00194  88.00194  88.00194  88.00194  88.00195
 88.00195  88.00194  88.001945 88.00196  88.001945 88.00194  88.001945
 88.00194  88.00194  88.00193  88.00193  88.00194  88.00195  88.00196
 88.00196  88.00195  88.00195  88.00195  88.00196  88.00195  88.00196 ]"
GRU,156.71805020360196,201.52698178777197,-1.022611529974773,"[136.0902  136.09018 136.09018 136.09018 136.09018 136.09018 136.09018
 136.0902  136.09021 136.09023 136.09023 136.09023 136.09023 136.09023
 136.09023 136.09023 136.09021 136.09023 136.09023 136.09023 136.09023
 136.0902  136.0902  136.0902  136.09021 136.09023 136.09021 136.09023
 136.09023 136.09026 136.09024 136.09021 136.09021 136.09023 136.09023
 136.09023 136.09026 136.09023 136.09023 136.09021 136.09023 136.09023
 136.0902  136.09023 136.09021 136.09021 136.09021 136.0902  136.09023
 136.09023 136.0902  136.09023 136.09023 136.09023 136.0902  136.09021
 136.09021 136.09021 136.0902  136.0902  136.0902  136.09021 136.09024
 136.09024 136.09024 136.09023 136.09023 136.09026 136.09024 136.09026]"
